ID,EmployeeAvg,ReviewAvg,TaskAvg,rating
7,1.75,3.75,5,4
9,3,2.5,4,4
32,2.75,3.5,3,3
34,3.25,2.5,5,4
36,4,2,4,4
54,3.25,2.5,3,3
58,3.5,3.625,2,3
59,1.75,2.75,4,3
63,4.25,3.65,4,5
65,2.5,1,4,2
71,4.75,2.75,3,4
82,3.5,3.25,4,4
83,3,3.4375,2,3
88,3,4.25,4,4
90,3,3.5,4,4
95,3.5,3.5,3,3
96,2.25,3.5,5,4
109,2,3.5,4,3
110,2.5,3.3125,3,3
111,2.5,2.5,4,3
122,3.5,3.5,4,4
124,1.5,2.5,3,2
125,2,3.5,5,4
127,1.5,2,1,1
129,1.75,2.25,1,2
132,3,2.75,3,3
133,2,2.75,4,3
134,4.25,2.75,5,4
135,2.5,3.75,2,3
151,4,3.5,3,4
157,2,3.5,4,3
176,4.25,3,4,5
177,3.25,4.25,4,5
180,2.5,1.5,3,2
183,3.25,3.25,3,3
194,3.5,3,3,3
197,2.5,3,5,4
203,3.75,4.1,4,5
204,3.25,2.25,5,4
205,3.25,3.5,4,4
208,3.25,2.75,4,3
210,3.25,3,4,3
212,2.5,3.125,2,2
215,2.25,2.5,4,3
225,3,1.75,4,3
242,1.5,3.75,4,3
243,3.25,3,5,4
247,2.5,2.75,4,3
999,5,5,5,5
888,1,1,1,1
777,4,4,4,5
666,3,3,3,3
555,2,2,2,2
